Plot,Name,Authors,Proceedings,FOM,Power,Jitter,FracSpur,Area,Tech,Fref,Fout,TuningRange,TuningPercent,N,FOM_N,Architecture,PhaseDetector,Oscillator,URL,Tags (optional)
TRUE,,,Ours,-260,100,10,-70,0.6,65,50,10,1,0.1,200,-278,DPLL,TDC,LC,Put your own results here for comparison,
TRUE,A Low-Jitter Fractional- N Digital PLL Adopting a Reverse-Concavity Variable-Slope DTC,"Rossoni, Michele & Dartizio, Simone M. & Tesolin, Francesco & Castoro, Giacomo & Dell’Orto, Riccardo & Lacaita, Andrea L. & Levantino, Salvatore",JSSC'25,-253.5,17.5,57.3,-63.4,0.21,28,250,9.25,1.5,0.16,37,-269.2,DPLL,BB,LC,https://ieeexplore.ieee.org/document/10706601,"Capacitors, Delays, Fractional-N, Inverters, Linearity, Noise, Phase locked loops, Power demand, Propagation delay, digital calibration, digital phase-locked loop (PLL), digital-to-time converter (DTC), fractional spurs, jitter, low-jitter, phase noise, variable slope"
TRUE,A DPD/Dither-Free DPLL Based on a Cascaded Fractional Divider and Pseudo-Differential DTCs Achieving a - 62.1-dBc Fractional Spur,"Xu, Dingxin & Liu, Zezheng & Kuai, Yifeng & Huang, Hongye & Zhang, Yuncheng & Sun, Zheng & Liu, Bangan & Wang, Wenqian & Xiong, Yuang & Qiu, Junjun & Madany, Waleed & Zhang, Yi & Fadila, Ashbir Aviat & Shirane, Atsushi & Okada, Kenichi",JSSC'25,-247.4,8.89,143.7,-62.1,0.23,65,100,7,1,0.14,70,-265.9,DPLL,BB,LC,https://ieeexplore.ieee.org/document/10729860,"Delays, Fractional-N, Frequency control, Frequency conversion, Frequency modulation, Harmonic analysis, Noise, Phase locked loops, Table lookup, Topology, digital-to-time converter (DTC), fractional spur, frequency synthesizer, jitter, phase-locked loop (PLL)"
TRUE,A 9-GHz Low-In-Band Noise Sub-Sampling-Chopper PLL With Charge-Share Canceling Technique,"Kong, Xiangjian & Xu, Kai & Xie, Huanlin & Jian, Mingchao & Lian, Hao & Bogdan Staszewski, Robert & Guo, Chunbing",JSSC'25,-257.1,7.8,49.9,,0.64,65,100,9,0.86,0.1,90,-276.64,APLL,SS,LC,https://ieeexplore.ieee.org/document/10930756,"1/f noise, Bandwidth, Class-C/F₂, Harmonic analysis, Noise, Phase locked loops, Power harmonic filters, Voltage-controlled oscillators, White noise, flicker noise, jitter, low in-band phase noise (PN), low jitter, low power, sub-sampling chopper phase-locked loop (SS-CPLL), voltage, voltage-controlled oscillator (VCO)"
TRUE,A Ping-Pong Charge-Sharing Locking PLL With Implicit Reference Doubling and Simultaneous Frequency/Duty-Cycle Calibrations,"Kumar, Sayan & Siriburanon, Teerachot & Dash, Sumit & Sawakewang, Patchara & Andrabi, Shuja & Strange, Jon & Muhammad, Khurram & Hung, Chih-Ming & Bogdan Staszewski, Robert",JSSC'25,-256.3,14,41.75,,0.209,28,250,27,2.1,0.08,108,-276.63,APLL,SS,LC,https://ieeexplore.ieee.org/document/10924718,"5G communication, Bandwidth, Calibration, Capacitors, Clocks, Frequency locked loops, Oscillators, Phase locked loops, Power demand, charge-sharing locking (CSL), duty-cycle calibration (DCC), frequency-tracking loop (FTL), injection locking (IL), jitter, millimeter-wave (mmW), ping-pong (PP) CSL, reference doubling, reference-frequency multiplication, voltage"
TRUE,A Compact 20–24-GHz Sub-Sampling PLL With Charge-Domain Bandwidth Control Scheme,"Wang, Li & Liu, Zilu & Ma, Ruitao & Yue, C. Patrick",JSSC'25,-253,13.35,61.23,,0.057,40,250,22,4,0.18,88,-272.4,APLL,SS,LC,https://ieeexplore.ieee.org/document/10746381,"Bandwidth, Capacitors, Compact, Frequency control, Gain, Gain control, Low-pass filters, Noise, Phase locked loops, Voltage-controlled oscillators, dual path (DP), integer-N, integral, jitter, phase-locked loop (PLL), proportional, sub-sampling, true single-phase clock (TSPC)"
TRUE,An Ultra-Low-Jitter Fast-Hopping Fractional-N PLL With LC DTC and Hybrid-Proportional Paths,"Liu, Hongzhuo & Deng, Wei & Jia, Haikun & Wang, Zhihua & Chi, Baoyong",JSSC'25,-250.7,34,41.3,-62.4,0.21,28,250,11.25,3.7,0.33,45,-267.2,APLL/DPLL,SS/BB,LC,https://ieeexplore.ieee.org/document/10843985,"Bandwidth, Clocks, Counter, Delays, Frequency modulation, Phase frequency detectors, Phase locked loops, Tuning, Voltage-controlled oscillators, fast lock, frequency hopping, jitter, phase noise, sampling phase detector (SPD)"
FALSE,A Low-Jitter and Low-Reference-Spur Ring-VCO-Based Injection-Locked Clock Multiplier Utilizing a Complementary-Injection Scheme and an Adaptive Pulsewidth Adjustment,"Wang, Zedong & Zheng, Xuqiang & He, Yu & Xu, Hua & Li, Sai & Yang, Zunsong & Lv, Fangxu & Lai, Mingche & Liu, Xinyu",JSSC'25,-255.5,14.5,43.9,,0.133,28,3000,6,3.9,0.65,2,-258.5,ILCM,CP,Ring,https://ieeexplore.ieee.org/document/10742924,"Adaptive pulse generator (APG), Bandwidth, Clocks, Computer architecture, Delays, Noise reduction, Oscillators, Phase locked loops, Pulse generation, Voltage-controlled oscillators, complementary injection, frequency tracking loop (FTL), injection-locked clock multiplier (ILCM), jitter, noise suppression, optimal injection pulsewidth, phase error cancellation, ring voltage-controlled oscillator (RVCO)"
TRUE,A 12.24-GHz MDLL With a 102-Multiplication Factor Using a Power-Gating-Based Ring Oscillator,"Cho, Yoonseo & Lee, Jeonghyun & Park, Suneui & Yoo, Seyeon & Choi, Jaehyouk",JSSC'25,-246.6,14.7,122,,0.066,40,120,12.24,1.2,0.1,102,-266.7,MDLL,BB,Ring,https://ieeexplore.ieee.org/document/10620066,"Calibration, Clocks, Delays, Generators, Phase locked loops, Switches, jitter, multiplication factor (N), multiplying delay-locked loop (MDLL), power gating (PG), ring oscillator (RO)"
TRUE,A Transformer-Based Series-Resonance CMOS VCO,"Zhang, Shiwei & Deng, Wei & Jia, Haikun & Liu, Hongzhuo & Sun, Shiyan & Guan, Pingda & Wang, Zhihua & Chi, Baoyong",JSSC'25,-245.6,242,40.7,,0.7,65,100,11.1,0.8,0.07,111,-266.1,APLL,SS,LC,https://ieeexplore.ieee.org/document/10623620,"CMOS, MOS devices, Oscillators, Phase locked loops, Resistance, Transformers, Voltage-controlled oscillators, jitter, millimeter-wave (mm-wave), oscillator, phase noise (PN), resonator, voltage-controlled oscillator (VCO)"
